Id,Expression,Answer
545,989+147,1136
546,119+280,399
547,202+730,932
548,725+568,1293
549,993+899,1892
550,981+447,1428
551,553+406,959
552,282+306,588
553,743+231,974
554,146+650,796
555,537+264,801
556,303+862,1165
557,40+270,310
558,558+673,1231
559,573+568,1141
560,773+628,1401
561,628+895,1523
562,758+169,927
563,967+149,1116
564,944+121,1065
565,982+76,1058
566,886+534,1420
567,563+165,728
568,131+807,938
569,244+22,266
570,454+374,828
571,451+473,924
572,65+216,281
573,269+355,624
574,423+222,645
575,801+281,1082
576,438+926,1364
577,997+417,1414
578,387+385,772
579,355+611,966
580,639+664,1303
581,780+660,1440
582,269+84,353
583,412+581,993
584,916+735,1651
585,318+795,1113
586,655+588,1243
587,856+130,986
588,493+83,576
589,741+323,1064
590,773+927,1700
591,856+472,1328
592,620+895,1515
593,115+459,574
594,293+755,1048
595,987+485,1472
596,453+708,1161
597,254+317,571
598,166+889,1055
599,506+265,771
600,621+6,627
601,365+721,1086
602,963+676,1639
603,125+656,781
604,715+687,1402
605,139+586,725
606,389+115,504
607,983+669,1652
608,840+6,846
609,416+182,598
610,906+420,1326
611,662+378,1040
612,933+118,1051
613,129+426,555
614,583+623,1206
615,867+377,1244
616,949+708,1657
617,573+230,803
618,741+143,884
619,57+748,805
620,243+668,911
621,561+429,990
622,454+136,590
623,304+663,967
624,380+749,1129
625,947+163,1110
626,191+689,880
627,254+355,609
628,912+915,1827
629,924+751,1675
630,48+273,321
631,631+938,1569
632,257+25,282
633,700+184,884
634,882+241,1123
635,126+732,858
636,205+526,731
637,971+464,1435
638,296+222,518
639,494+756,1250
640,733+117,850
641,591+247,838
642,366+806,1172
643,825+451,1276
644,248+876,1124
645,854+601,1455
646,418+789,1207
647,393+187,580
648,950+316,1266
649,689+376,1065
650,972+494,1466
651,569+472,1041
652,883+822,1705
653,539+173,712
654,339+851,1190
655,975+889,1864
656,960+75,1035
657,420+9,429
658,66+292,358
659,579+400,979
660,407+970,1377
661,997+71,1068
662,348+781,1129
663,361+475,836
664,516+129,645
665,450+366,816
666,412+380,792
667,2+243,245
668,692+294,986
669,989+419,1408
670,362+962,1324
671,199+458,657
672,806+950,1756
673,930+30,960
674,502+66,568
675,425+27,452
676,283+665,948
677,843+220,1063
678,408+576,984
679,771+795,1566
680,995+331,1326
681,548+245,793
682,6+725,731
683,460+475,935
684,513+149,662
685,727+87,814
686,67+737,804
687,379+860,1239
688,826+890,1716
689,195+510,705
690,958+153,1111
691,836+225,1061
692,299+453,752
693,492+851,1343
694,841+650,1491
695,450+274,724
696,270+755,1025
697,366+435,801
698,296+982,1278
699,404+428,832
700,871+837,1708
701,126+14,140
702,866+718,1584
703,922+398,1320
704,215+499,714
705,171+198,369
706,712+929,1641
707,281+199,480
708,871+561,1432
709,671+597,1268
710,717+858,1575
711,87+466,553
712,821+829,1650
713,841+523,1364
714,251+956,1207
715,937+716,1653
716,435+912,1347
717,306+942,1248
718,727+802,1529
719,719+122,841
720,103+124,227
721,955+616,1571
722,919+271,1190
723,530+385,915
724,721+173,894
725,782+762,1544
726,664+854,1518
727,998+132,1130
728,831+516,1347
729,836+395,1231
730,66+790,856
731,145+464,609
732,712+730,1442
733,47+566,613
734,87+978,1065
735,516+419,935
736,401+987,1388
737,740+415,1155
738,727+182,909
739,399+782,1181
740,808+271,1079
741,493+565,1058
742,856+646,1502
743,522+199,721
744,492+34,526
745,651+987,1638
746,592+817,1409
747,394+123,517
748,386+847,1233
749,633+258,891
750,767+247,1014
751,250+772,1022
752,306+757,1063
753,999+845,1844
754,805+136,941
755,533+747,1280
756,883+469,1352
757,216+325,541
758,431+734,1165
759,156+845,1001
760,977+322,1299
761,899+154,1053
762,187+991,1178
763,587+919,1506
764,494+289,783
765,253+814,1067
766,92+89,181
767,612+912,1524
768,236+774,1010
769,685+196,881
770,699+295,994
771,516+595,1111
772,175+355,530
773,703+736,1439
774,197+592,789
775,114+207,321
776,930+610,1540
777,926+14,940
778,126+111,237
779,332+161,493
780,447+353,800
781,678+11,689
782,439+929,1368
783,852+239,1091
784,198+270,468
785,897+375,1272
786,134+940,1074
787,791+351,1142
788,629+431,1060
789,16+298,314
790,429+976,1405
791,514+364,878
792,142+83,225
793,600+657,1257
794,625+716,1341
795,147+372,519
796,517+211,728
797,674+409,1083
798,863+439,1302
799,266+995,1261
800,986+858,1844
801,509+620,1129
802,201+193,394
803,809+687,1496
804,498+758,1256
805,178+75,253
806,508+379,887
807,228+326,554
808,230+570,800
809,439+653,1092
810,21+181,202
811,366+469,835
812,813+992,1805
813,36+15,51
814,830+370,1200
815,908+334,1242
816,809+405,1214
817,67+869,936
818,168+438,606
819,242+883,1125
820,359+575,934
821,47+424,471
822,169+252,421
823,138+823,961
824,890+644,1534
825,502+212,714
826,564+130,694
827,459+125,584
828,148+909,1057
829,458+403,861
830,434+820,1254
831,481+895,1376
832,280+226,506
833,207+32,239
834,2+180,182
835,318+772,1090
836,367+15,382
837,401+564,965
838,12+191,203
839,952+766,1718
840,661+479,1140
841,224+549,773
842,763+293,1056
843,440+456,896
844,667+45,712
845,634+809,1443
846,55+907,962
847,605+752,1357
848,332+495,827
849,738+843,1581
850,599+3,602
851,543+665,1208
852,281+767,1048
853,775+326,1101
854,283+856,1139
855,689+0,689
856,269+632,901
857,623+301,924
858,902+628,1530
859,334+251,585
860,382+209,591
861,380+626,1006
862,790+496,1286
863,459+187,646
864,508+886,1394
865,662+882,1544
866,516+549,1065
867,107+706,813
868,903+451,1354
869,569+801,1370
870,342+833,1175
871,345+764,1109
872,774+243,1017
873,679+24,703
874,752+658,1410
875,34+411,445
876,857+894,1751
877,359+859,1218
878,881+533,1414
879,131+377,508
880,664+712,1376
881,999+709,1708
882,648+682,1330
883,755+842,1597
884,999+577,1576
885,227+516,743
886,880+516,1396
887,969+888,1857
888,842+366,1208
889,869+841,1710
890,433+504,937
891,629+85,714
892,0+448,448
893,602+291,893
894,878+527,1405
895,20+853,873
896,498+179,677
897,588+475,1063
898,49+582,631
899,692+769,1461
900,232+940,1172
901,824+550,1374
902,418+921,1339
903,449+336,785
904,495+764,1259
905,597+763,1360
906,384+551,935
907,348+173,521
908,435+386,821
909,875+290,1165
910,945+966,1911
911,156+644,800
912,719+909,1628
913,970+296,1266
914,570+428,998
915,530+567,1097
916,630+354,984
917,262+456,718
918,940+599,1539
919,771+28,799
920,99+339,438
921,5+0,5
922,586+482,1068
923,466+608,1074
924,822+92,914
925,756+242,998
926,699+803,1502
927,985+840,1825
928,662+387,1049
929,301+814,1115
930,178+277,455
931,273+706,979
932,993+545,1538
933,886+440,1326
934,878+656,1534
935,793+13,806
936,882+162,1044
937,343+293,636
938,840+680,1520
939,167+706,873
940,276+680,956
941,541+767,1308
942,899+79,978
943,653+105,758
944,921+855,1776
945,946+356,1302
946,611+568,1179
947,69+503,572
948,522+626,1148
949,258+76,334
950,24+769,793
951,711+123,834
952,906+681,1587
953,197+402,599
954,962+492,1454
955,7+671,678
956,963+371,1334
957,845+46,891
958,69+964,1033
959,331+522,853
960,258+742,1000
961,379+531,910
962,927+819,1746
963,974+564,1538
964,32+122,154
965,284+641,925
966,920+172,1092
967,111+823,934
968,592+681,1273
969,322+939,1261
970,622+629,1251
971,834+225,1059
972,693+557,1250
973,502+771,1273
974,275+711,986
975,804+342,1146
976,239+655,894
977,248+935,1183
978,84+684,768
979,449+367,816
980,556+910,1466
981,145+827,972
982,417+855,1272
983,757+106,863
984,220+290,510
985,85+790,875
986,520+274,794
987,742+73,815
988,38+683,721
989,752+799,1551
990,588+641,1229
991,188+344,532
992,138+559,697
993,678+21,699
994,172+562,734
995,575+856,1431
996,734+78,812
997,95+383,478
998,73+164,237
999,261+380,641
1000,742+13,755
1001,516+827,1343
1002,774+496,1270
1003,325+435,760
1004,564+601,1165
1005,952+850,1802
1006,730+291,1021
1007,605+267,872
1008,465+49,514
1009,268+266,534
1010,647+66,713
1011,283+41,324
1012,193+552,745
1013,262+183,445
1014,746+74,820
1015,131+916,1047
1016,968+148,1116
1017,813+94,907
1018,460+970,1430
1019,469+666,1135
1020,911+725,1636
1021,24+563,587
1022,120+70,190
1023,818+841,1659
1024,841+418,1259
1025,427+392,819
1026,845+135,980
1027,902+113,1015
1028,318+522,840
1029,8+568,576
1030,2+518,520
1031,183+613,796
1032,508+877,1385
1033,521+504,1025
1034,370+379,749
1035,629+256,885
1036,231+306,537
1037,543+560,1103
1038,452+795,1247
1039,135+441,576
1040,699+40,739
1041,170+188,358
1042,869+90,959
1043,594+333,927
1044,560+684,1244
1045,796+590,1386
1046,649+662,1311
1047,224+454,678
1048,942+109,1051
1049,139+296,435
1050,516+510,1026
1051,704+497,1201
1052,255+243,498
1053,664+825,1489
1054,984+433,1417
1055,768+845,1613
1056,602+265,867
1057,132+941,1073
1058,610+111,721
1059,416+769,1185
1060,498+20,518
1061,279+236,515
1062,437+870,1307
1063,355+350,705
1064,878+932,1810
1065,21+929,950
1066,259+800,1059
1067,187+396,583
1068,444+858,1302
1069,969+457,1426
1070,557+126,683
1071,61+851,912
1072,959+816,1775
1073,210+135,345
1074,539+866,1405
1075,912+518,1430
1076,417+743,1160
1077,905+268,1173
1078,561+215,776
1079,806+848,1654
1080,269+600,869
1081,229+147,376
1082,35+365,400
1083,353+859,1212
1084,716+468,1184
1085,218+336,554
1086,121+340,461
1087,430+824,1254
1088,888+454,1342
1089,292+948,1240
1090,928+312,1240
1091,848+756,1604
1092,394+285,679
1093,85+767,852
1094,445+17,462
1095,141+129,270
1096,806+259,1065
1097,604+870,1474
1098,421+322,743
1099,238+483,721
1100,808+107,915
1101,807+566,1373
1102,881+95,976
1103,987+141,1128
1104,344+800,1144
1105,570+243,813
1106,896+61,957
1107,529+601,1130
1108,967+146,1113
1109,161+52,213
1110,108+830,938
1111,531+397,928
1112,231+865,1096
1113,482+744,1226
1114,479+200,679
1115,161+84,245
1116,20+171,191
1117,636+494,1130
1118,669+357,1026
1119,270+831,1101
1120,862+469,1331
1121,872+554,1426
1122,706+387,1093
1123,16+754,770
1124,487+688,1175
1125,354+685,1039
1126,965+771,1736
1127,825+398,1223
1128,541+119,660
1129,921+817,1738
1130,517+345,862
1131,557+691,1248
1132,974+988,1962
1133,319+701,1020
1134,958+906,1864
1135,624+13,637
1136,44+603,647
1137,106+97,203
1138,999+872,1871
1139,326+960,1286
1140,557+34,591
1141,655+133,788
1142,349+832,1181
1143,986+686,1672
1144,300+981,1281
1145,14+756,770
1146,690+594,1284
1147,258+539,797
1148,241+9,250
1149,732+783,1515
1150,226+384,610
1151,931+106,1037
1152,914+546,1460
1153,518+369,887
1154,542+605,1147
1155,26+16,42
1156,836+164,1000
1157,940+539,1479
1158,269+609,878
1159,344+82,426
1160,933+636,1569
1161,940+841,1781
1162,320+286,606
1163,657+521,1178
1164,70+906,976
1165,537+702,1239
1166,934+206,1140
1167,942+966,1908
1168,596+342,938
1169,643+824,1467
1170,100+452,552
1171,105+789,894
1172,536+920,1456
1173,486+902,1388
1174,791+804,1595
1175,728+322,1050
1176,231+912,1143
1177,901+153,1054
1178,177+260,437
1179,51+646,697
1180,923+748,1671
1181,127+50,177
1182,901+268,1169
1183,806+369,1175
1184,779+847,1626
1185,876+1,877
1186,294+889,1183
1187,593+334,927
1188,904+616,1520
1189,24+935,959
1190,815+61,876
1191,976+545,1521
1192,952+222,1174
1193,124+702,826
1194,93+817,910
1195,296+246,542
1196,610+859,1469
1197,802+177,979
1198,769+480,1249
1199,632+131,763
1200,470+307,777
1201,247+374,621
1202,90+695,785
1203,702+316,1018
1204,664+529,1193
1205,606+651,1257
1206,668+785,1453
1207,601+293,894
1208,912+56,968
1209,623+237,860
1210,159+545,704
1211,540+877,1417
1212,653+657,1310
1213,516+607,1123
1214,583+31,614
1215,650+498,1148
1216,870+330,1200
1217,553+347,900
1218,603+959,1562
1219,307+163,470
1220,794+88,882
1221,468+305,773
1222,317+642,959
1223,364+269,633
1224,338+705,1043
1225,454+695,1149
1226,988+438,1426
1227,600+834,1434
1228,386+323,709
1229,455+623,1078
1230,595+540,1135
1231,188+71,259
1232,490+347,837
1233,35+563,598
1234,165+976,1141
1235,773+783,1556
1236,713+480,1193
1237,317+196,513
1238,265+269,534
1239,705+42,747
1240,999+581,1580
1241,371+424,795
1242,603+658,1261
1243,787+531,1318
1244,11+416,427
1245,783+352,1135
1246,297+40,337
1247,181+982,1163
1248,796+75,871
1249,964+25,989
1250,569+215,784
1251,601+136,737
1252,308+794,1102
1253,961+151,1112
1254,915+339,1254
1255,49+13,62
1256,663+931,1594
1257,349+321,670
1258,67+842,909
1259,464+961,1425
1260,822+727,1549
1261,718+260,978
1262,867+492,1359
1263,222+782,1004
1264,9+698,707
1265,996+827,1823
1266,734+544,1278
1267,152+657,809
1268,336+363,699
1269,975+191,1166
1270,953+697,1650
1271,561+2,563
1272,838+783,1621
1273,54+7,61
1274,255+616,871
1275,336+594,930
1276,652+105,757
1277,897+592,1489
1278,128+757,885
1279,459+535,994
1280,933+672,1605
1281,670+708,1378
1282,768+205,973
1283,978+926,1904
1284,716+327,1043
1285,30+583,613
1286,818+103,921
1287,753+996,1749
1288,158+654,812
1289,508+461,969
1290,940+566,1506
1291,80+27,107
1292,278+240,518
1293,796+974,1770
1294,470+81,551
1295,740+141,881
1296,796+573,1369
1297,355+773,1128
1298,56+852,908
1299,197+861,1058
1300,453+760,1213
1301,233+347,580
1302,991+581,1572
1303,324+813,1137
1304,490+138,628
1305,920+81,1001
1306,584+458,1042
1307,590+310,900
1308,322+3,325
1309,970+516,1486
1310,867+372,1239
1311,916+883,1799
1312,484+334,818
1313,87+662,749
1314,504+568,1072
1315,246+299,545
1316,564+467,1031
1317,622+367,989
1318,626+237,863
1319,360+88,448
1320,790+52,842
1321,47+222,269
1322,694+83,777
1323,956+150,1106
1324,806+124,930
1325,241+373,614
1326,845+238,1083
1327,667+4,671
1328,246+32,278
1329,236+990,1226
1330,621+245,866
1331,756+40,796
1332,201+626,827
1333,673+551,1224
1334,36+388,424
1335,752+733,1485
1336,90+936,1026
1337,633+396,1029
1338,945+375,1320
1339,337+514,851
1340,10+234,244
1341,416+173,589
1342,791+388,1179
1343,547+677,1224
1344,90+14,104
1345,690+138,828
1346,918+808,1726
1347,113+332,445
1348,965+559,1524
1349,236+55,291
1350,97+550,647
1351,829+27,856
1352,348+207,555
1353,707+447,1154
1354,195+523,718
1355,801+125,926
1356,113+459,572
1357,148+780,928
1358,639+705,1344
1359,428+369,797
1360,238+496,734
1361,588+799,1387
1362,855+263,1118
1363,888+140,1028
1364,585+969,1554
1365,591+873,1464
1366,411+874,1285
1367,664+477,1141
1368,614+35,649
1369,154+742,896
1370,861+790,1651
1371,451+965,1416
1372,293+35,328
1373,193+812,1005
1374,80+336,416
1375,456+666,1122
1376,637+900,1537
1377,682+251,933
1378,26+993,1019
1379,814+37,851
1380,49+114,163
1381,21+480,501
1382,485+718,1203
1383,176+926,1102
1384,62+847,909
1385,464+970,1434
1386,136+441,577
1387,554+406,960
1388,28+589,617
1389,764+691,1455
1390,649+902,1551
1391,141+592,733
1392,679+905,1584
1393,968+415,1383
1394,24+771,795
1395,870+998,1868
1396,723+78,801
1397,964+707,1671
1398,960+903,1863
1399,739+894,1633
1400,528+872,1400
1401,800+278,1078
1402,582+406,988
1403,279+508,787
1404,859+969,1828
1405,198+265,463
1406,249+660,909
1407,736+759,1495
1408,759+146,905
1409,334+870,1204
1410,42+505,547
1411,818+956,1774
1412,128+889,1017
1413,115+947,1062
1414,167+182,349
1415,284+834,1118
1416,514+862,1376
1417,35+947,982
1418,720+649,1369
1419,357+368,725
1420,428+586,1014
1421,762+157,919
1422,842+996,1838
1423,676+722,1398
1424,820+339,1159
1425,347+918,1265
1426,119+712,831
1427,802+333,1135
1428,352+929,1281
1429,194+324,518
1430,713+319,1032
1431,727+29,756
1432,363+700,1063
1433,917+108,1025
1434,536+48,584
1435,193+656,849
1436,506+968,1474
1437,821+64,885
1438,847+759,1606
1439,227+228,455
1440,855+861,1716
1441,2+12,14
1442,23+194,217
1443,994+975,1969
1444,840+575,1415
1445,425+131,556
1446,660+4,664
1447,954+409,1363
1448,519+434,953
1449,940+532,1472
1450,814+680,1494
1451,828+153,981
1452,333+318,651
1453,80+52,132
1454,347+996,1343
1455,733+423,1156
1456,800+678,1478
1457,98+285,383
1458,578+142,720
1459,364+193,557
1460,143+15,158
1461,396+688,1084
1462,646+989,1635
1463,115+91,206
1464,78+165,243
1465,465+801,1266
1466,640+636,1276
1467,267+947,1214
1468,968+364,1332
1469,570+428,998
1470,307+286,593
1471,929+804,1733
1472,842+187,1029
1473,414+379,793
1474,947+659,1606
1475,782+913,1695
1476,23+812,835
1477,556+84,640
1478,938+864,1802
1479,694+791,1485
1480,388+470,858
1481,849+553,1402
1482,915+443,1358
1483,276+55,331
1484,974+320,1294
1485,139+913,1052
1486,360+598,958
1487,956+98,1054
1488,974+551,1525
1489,516+618,1134
1490,576+811,1387
1491,979+581,1560
1492,12+201,213
1493,651+969,1620
1494,152+296,448
1495,179+725,904
1496,832+687,1519
1497,890+923,1813
1498,592+765,1357
1499,118+387,505
1500,218+48,266
1501,491+656,1147
1502,727+11,738
1503,299+52,351
1504,360+23,383
1505,966+573,1539
1506,200+787,987
1507,593+70,663
1508,689+319,1008
1509,116+379,495
1510,6+899,905
1511,67+646,713
1512,698+404,1102
1513,487+922,1409
1514,774+687,1461
1515,614+672,1286
1516,290+712,1002
1517,114+541,655
1518,461+467,928
1519,598+972,1570
1520,777+571,1348
1521,351+406,757
1522,827+93,920
1523,859+192,1051
1524,463+983,1446
1525,960+961,1921
1526,658+2,660
1527,499+77,576
1528,173+678,851
1529,920+218,1138
1530,731+663,1394
1531,631+209,840
1532,933+396,1329
1533,512+325,837
1534,829+246,1075
1535,240+775,1015
1536,955+303,1258
1537,356+914,1270
1538,13+188,201
1539,460+894,1354
1540,1+153,154
1541,73+295,368
1542,178+983,1161
1543,486+47,533
1544,66+838,904
1545,713+163,876
1546,958+519,1477
1547,800+958,1758
1548,465+118,583
1549,928+376,1304
1550,493+508,1001
1551,425+652,1077
1552,557+336,893
1553,312+248,560
1554,32+907,939
1555,635+8,643
1556,29+981,1010
1557,978+149,1127
1558,942+231,1173
1559,936+731,1667
1560,248+753,1001
1561,904+513,1417
1562,692+21,713
1563,963+222,1185
1564,427+207,634
1565,952+892,1844
1566,142+458,600
1567,39+767,806
1568,873+906,1779
1569,621+393,1014
1570,983+923,1906
1571,955+680,1635
